# fixture=wrap,source=/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,3,2.843,0.979,0.420,0.773,5.016,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,3,2.889,1.168,0.436,4.698,9.191,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,4,3.928,0.943,0.373,0.480,5.723,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,4,2.157,1.211,0.412,0.578,4.358,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,4,2.726,0.839,0.332,0.439,4.336,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,5,2.103,1.176,0.379,0.516,4.174,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,5,3.958,0.851,0.352,0.466,5.627,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,5,2.570,0.818,0.334,0.429,4.151,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,6,1.980,1.063,0.350,0.443,3.837,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,6,2.466,0.701,0.301,0.398,3.866,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
